2026-02-19 20:39:50,837 | INFO     | resume_fraud | Logging initialised — file: C:\Users\DELL\Documents\Resume_Fraud_Backend\backend\app.log
2026-02-19 20:39:50,891 | DEBUG    | passlib.registry | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2026-02-19 20:39:52,770 | INFO     | resume_fraud | Application started — tables created, uploads dir ready
2026-02-19 20:41:09,731 | INFO     | resume_fraud | Signup attempt for username: testuser
2026-02-19 20:41:09,745 | DEBUG    | passlib.handlers.bcrypt | detected 'bcrypt' backend, version '4.0.1'
2026-02-19 20:41:09,745 | DEBUG    | passlib.handlers.bcrypt | 'bcrypt' backend lacks $2$ support, enabling workaround
2026-02-19 20:41:10,181 | INFO     | resume_fraud | User created: testuser (id=1)
2026-02-19 20:41:46,481 | DEBUG    | multipart.multipart | Calling on_field_start with no data
2026-02-19 20:41:46,481 | DEBUG    | multipart.multipart | Calling on_field_name with data[0:8]
2026-02-19 20:41:46,481 | DEBUG    | multipart.multipart | Calling on_field_data with data[9:17]
2026-02-19 20:41:46,481 | DEBUG    | multipart.multipart | Calling on_field_end with no data
2026-02-19 20:41:46,481 | DEBUG    | multipart.multipart | Calling on_field_start with no data
2026-02-19 20:41:46,481 | DEBUG    | multipart.multipart | Calling on_field_name with data[18:26]
2026-02-19 20:41:46,484 | DEBUG    | multipart.multipart | Calling on_field_data with data[27:35]
2026-02-19 20:41:46,484 | DEBUG    | multipart.multipart | Calling on_field_end with no data
2026-02-19 20:41:46,484 | DEBUG    | multipart.multipart | Calling on_end with no data
2026-02-19 20:41:46,487 | INFO     | resume_fraud | Login attempt for username: testuser
2026-02-19 20:41:46,898 | INFO     | resume_fraud | Token issued for user: testuser
2026-02-19 20:42:10,403 | DEBUG    | multipart.multipart | Calling on_end with no data
2026-02-19 20:44:43,219 | INFO     | resume_fraud | Logging initialised — file: C:\Users\DELL\Documents\Resume_Fraud_Backend\backend\app.log
2026-02-19 20:44:43,226 | DEBUG    | passlib.registry | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2026-02-19 20:44:43,428 | INFO     | resume_fraud | Application started — tables created, uploads dir ready
2026-02-19 20:49:08,809 | INFO     | resume_fraud | Logging initialised — file: C:\Users\DELL\Documents\Resume_Fraud_Backend\backend\app.log
2026-02-19 20:49:08,815 | DEBUG    | passlib.registry | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2026-02-19 20:49:09,042 | INFO     | resume_fraud | Application started — tables created, uploads dir ready
2026-02-19 20:54:20,635 | INFO     | resume_fraud | Logging initialised — file: C:\Users\DELL\Documents\Resume_Fraud_Backend\app.log
2026-02-19 20:54:20,642 | DEBUG    | passlib.registry | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2026-02-19 20:54:20,819 | INFO     | resume_fraud | Application started — tables created, uploads dir ready
2026-02-19 20:56:05,997 | INFO     | resume_fraud | Logging initialised — file: C:\Users\DELL\Documents\Resume_Fraud_Backend\app.log
2026-02-19 20:56:06,002 | DEBUG    | passlib.registry | registered 'bcrypt' handler: <class 'passlib.handlers.bcrypt.bcrypt'>
2026-02-19 20:56:06,212 | INFO     | resume_fraud | Application started — tables created, uploads dir ready
2026-02-19 21:00:18,802 | INFO     | resume_fraud | Signup attempt for username: Druthi
2026-02-19 21:00:18,816 | DEBUG    | passlib.handlers.bcrypt | detected 'bcrypt' backend, version '4.0.1'
2026-02-19 21:00:18,816 | DEBUG    | passlib.handlers.bcrypt | 'bcrypt' backend lacks $2$ support, enabling workaround
2026-02-19 21:00:19,146 | INFO     | resume_fraud | User created: Druthi (id=2)
2026-02-19 21:02:55,077 | DEBUG    | multipart.multipart | Calling on_field_start with no data
